Nom;Keywords;Budget;Feel;Style;Type de vidéo
Ville de Beauharnois – Planification stratégique;Voiture · Communautaire · Bureau · Nature · Santé · Enfant · Bateau;1000 – 3000$;Sérieux · Informatif;Entrevue · B-roll · Épaule · Drone;Corpo
Ville de Beauharnois – Planification stratégique.mov (Capsule);Communautaire · Enfant · Bureau;1000 – 3000$;Informatif;Entrevue · B-roll · Épaule · Drone;Capsule
Ville de Beauharnois – Pompier;Voiture · Communautaire · Santé · Bateau · Feu;3000 – 5000$;Sérieux · Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Stabilisateur · Drone · Stock Footage · Ralenti;Corpo
Ville de Beauharnois – Beauharnois se raconte;Communautaire · Art · Événement;1000 – 3000$;Passion · Enjoué · Festif;Épaule · Ralenti;Événement
Ville de Valleyfield – Été – Capsule 1;Communautaire · Nature · Technologie;1000 – 3000$;Sérieux · Informatif;Entrevue · B-roll · Épaule · Drone · Vidéo portrait;Capsule
Ville de Valleyfield – Été – Capsule 2;Communautaire · Santé · Nature;1000 – 3000$;Sérieux · Informatif;Entrevue · B-roll · Épaule · Drone · Vidéo portrait;Capsule
Ville de Valleyfield – Été – Capsule 3;Communautaire · Construction;1000 – 3000$;Sérieux · Informatif;Entrevue · B-roll · Épaule · Drone · Vidéo portrait;Capsule
Ville de Valleyfield – Fossé;Communautaire · Construction · Employés;1000 – 3000$;Dynamique · Informatif · Rassurant;Entrevue · B-roll · Épaule · Drone · Vidéo portrait · Ralenti;Capsule
Ville de Valleyfield – Marché public;Épicerie · Communautaire · Nourriture · Commerce · Produit · Événement;1000 – 3000$;Dynamique · Énergétique · Enjoué;B-roll · Épaule · Drone · Photo Flash · Motion Design;Publicité
Ville de Valleyfield – Nettoyage;Communautaire · Nature · Employés;1000 – 3000$;Dynamique · Informatif · Rassurant;Entrevue · B-roll · Épaule · Vidéo portrait;Capsule
Ville de Valleyfield – Patinoire;Communautaire · Hiver · Nature · Sports;1000 – 3000$;Informatif;Épaule · Stabilisateur · Drone · Stock Footage · Ralenti · Voix-off;Capsule
Ville de Valleyfield – Plage;Acteur · Communautaire · Nourriture · Enfant · Jouets · Nature · Sports · Ado;3000 – 5000$;Dynamique · Énergétique · Enjoué · Festif;Épaule · Trépied · Drone;Publicité
Ville de Valleyfield – Semaine de la biodiversité;Communautaire · Nature · Science;1000 – 3000$;Dynamique · Énergétique · Passion;Épaule · Drone · B-roll · Ralenti · Entrevue;Événement
Ville de Valleyfield – Semaine de la biodiversité.mov (Enfant);Nature · Science · Enfant;1000 – 3000$;Dynamique · Passion · Enjoué;Épaule · Drone;Événement
Ville de Valleyfield – Signalisation travaux;Communautaire · Construction · Employés;1000 – 3000$;Dynamique · Informatif · Rassurant;Entrevue · B-roll · Épaule · Drone · Ralenti · Vidéo portrait;Capsule
Ville de Valleyfield – Valleyfield a besoin de toi 1.0;Acteur · Construction · Nature · Sports;5000 – 10 000$;Dynamique · Énergétique · Passion · Festif;Épaule · Vidéo portrait · Motion Design · Voix-off;Publicité
Ville de Valleyfield – Valleyfield a besoin de toi 2.0;Voiture · Acteur · Construction · Bureau · Nature · Sports · Ado;5000 – 10 000$;Dynamique · Énergétique · Passion · Enjoué;Épaule · Vidéo portrait · Motion Design · Voix-off;Publicité
Ville de Valleyfield – Valleyfield cherche 3;Communautaire · Enfant · Construction · Art · Nature · Sports · Ado · Employés;5000 – 10 000$;Dynamique · Énergétique · Passion · Enjoué;B-roll · Épaule · Vidéo portrait · Motion Design;Publicité
Ville de Valleyfield – Vente trottoir 2024;Nourriture · Commerce · Restaurant · Produit · Vêtements · Sports · Événement;1000 – 3000$;Dynamique · Enjoué;Épaule · Drone;Événement
William Cardinal – Dentstemps;Nature · Art · Animaux;20 000 – 50 000$;Grandiose · Majestueux · Émotion · Épique;Animation 3D · Stabilisateur · Voix-off;Court métrage
William Cardinal – Prods – BigCoconut;Produit · Café;10 000 – 20 000$;Humour · Passion · Majestueux;Animation 3D · Ralenti · Motion Design;Publicité
Womenwork – Pub;Acteur · Construction · Produit · Vêtements · Nature · Sports;5000 – 10 000$;Dynamique · Énergétique · Passion;Épaule · Stock Footage · Voix-off;Publicité
Youhou – Trouve une job intense;Acteur · Enfant · Sports · Enfance;3000 – 5000$;Humour · Énergétique;Trépied · Voix-off;Publicité
Zéro huit – Si jamais j’oublie;Voiture · Acteur · Bar · Noël · Enfant · Musique · Restaurant;5000 – 10 000$;Dynamique · Triste · Enjoué · Festif · Nostalgique;Épaule;Publicité
